,date,lme_copper_cash,lme_copper_three_month,lme_copper_stock,CN_BIP pro Kopf in USD,US_BIP pro Kopf in USD,Global_Nachfrage in Mio. Tonnen,EU_Produktionsmenge in 1000 Tonnen,AU_Produktionsmenge in 1000 Tonnen,CL_Produktionsmenge in 1000 Tonnen,CN_Produktionsmenge in 1000 Tonnen,MX_Produktionsmenge in 1000 Tonnen,PE_Produktionsmenge in 1000 Tonnen,RU_Produktionsmenge in 1000 Tonnen,ZM_Produktionsmenge in 1000 Tonnen,US_Produktionsmenge in 1000 Tonnen,CN_Verbrauch in 1000 Tonnen,EU_Verbrauch in 1000 Tonnen,JP_Verbrauch in 1000 Tonnen,US_Verbrauch in 1000 Tonnen,AU_Reserven in Mio. Tonnen,CL_Reserven in Mio. Tonnen,CN_Reserven in Mio. Tonnen,US_Reserven in Mio. Tonnen,CG_Reserven in Mio. Tonnen,MX_Reserven in Mio. Tonnen,PE_Reserven in Mio. Tonnen,RU_Reserven in Mio. Tonnen,ZM_Reserven in Mio. Tonnen,Global_Produktionsmenge in 1000 Tonnen,Global_Verbrauch in 1000 Tonnen
251,2012-01-03,7661.0,7680.0,371575,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
250,2012-01-04,7652.0,7665.5,369150,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
249,2012-01-05,7471.0,7485.5,368400,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
248,2012-01-06,7515.0,7540.0,368125,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
247,2012-01-09,7503.0,7508.0,366900,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
246,2012-01-10,7641.0,7652.0,365375,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
245,2012-01-11,7689.5,7700.5,364250,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
244,2012-01-12,7946.0,7961.0,358250,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
243,2012-01-13,7965.5,7980.0,356825,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
242,2012-01-16,8021.0,8025.5,354575,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
