date,lme_copper_cash,lme_copper_three_month,lme_copper_stock,CN_BIP pro Kopf in USD,US_BIP pro Kopf in USD,Global_Nachfrage in Mio. Tonnen,EU_Produktionsmenge in 1000 Tonnen,AU_Produktionsmenge in 1000 Tonnen,CL_Produktionsmenge in 1000 Tonnen,CN_Produktionsmenge in 1000 Tonnen,MX_Produktionsmenge in 1000 Tonnen,PE_Produktionsmenge in 1000 Tonnen,RU_Produktionsmenge in 1000 Tonnen,ZM_Produktionsmenge in 1000 Tonnen,US_Produktionsmenge in 1000 Tonnen,CN_Verbrauch in 1000 Tonnen,EU_Verbrauch in 1000 Tonnen,JP_Verbrauch in 1000 Tonnen,US_Verbrauch in 1000 Tonnen,AU_Reserven in Mio. Tonnen,CL_Reserven in Mio. Tonnen,CN_Reserven in Mio. Tonnen,US_Reserven in Mio. Tonnen,CG_Reserven in Mio. Tonnen,MX_Reserven in Mio. Tonnen,PE_Reserven in Mio. Tonnen,RU_Reserven in Mio. Tonnen,ZM_Reserven in Mio. Tonnen,Global_Produktionsmenge in 1000 Tonnen,Global_Verbrauch in 1000 Tonnen
2012-01-31,8043.452380952381,8058.166666666667,353063.09523809527,6282.71,51736.740000000005,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-02-29,8422.690476190477,8436.857142857143,311853.5714285714,6282.71,51736.740000000005,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-03-31,8457.045454545454,8442.227272727272,268577.2727272727,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-04-30,8259.631578947368,8203.157894736842,260215.7894736842,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-05-31,7919.931818181818,7859.863636363636,225168.18181818182,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-06-30,7420.105263157895,7420.236842105263,245505.26315789475,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-07-31,7589.386363636364,7591.181818181818,252345.45454545456,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-08-31,7492.454545454545,7502.068181818182,238557.95454545456,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-09-30,8068.375,8076.925,217505.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-10-31,8069.521739130435,8071.0,223292.39130434784,6282.709999999999,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
