date,lme_copper_cash,lme_copper_three_month,lme_copper_stock,CN_BIP pro Kopf in USD,US_BIP pro Kopf in USD,Global_Nachfrage in Mio. Tonnen,EU_Produktionsmenge in 1000 Tonnen,AU_Produktionsmenge in 1000 Tonnen,CL_Produktionsmenge in 1000 Tonnen,CN_Produktionsmenge in 1000 Tonnen,MX_Produktionsmenge in 1000 Tonnen,PE_Produktionsmenge in 1000 Tonnen,RU_Produktionsmenge in 1000 Tonnen,ZM_Produktionsmenge in 1000 Tonnen,US_Produktionsmenge in 1000 Tonnen,CN_Verbrauch in 1000 Tonnen,EU_Verbrauch in 1000 Tonnen,JP_Verbrauch in 1000 Tonnen,US_Verbrauch in 1000 Tonnen,AU_Reserven in Mio. Tonnen,CL_Reserven in Mio. Tonnen,CN_Reserven in Mio. Tonnen,US_Reserven in Mio. Tonnen,CG_Reserven in Mio. Tonnen,MX_Reserven in Mio. Tonnen,PE_Reserven in Mio. Tonnen,RU_Reserven in Mio. Tonnen,ZM_Reserven in Mio. Tonnen,Global_Produktionsmenge in 1000 Tonnen,Global_Verbrauch in 1000 Tonnen
2012-01-08,7574.75,7592.75,369312.5,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-01-15,7749.0,7760.3,362320.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-01-22,8188.6,8205.1,352090.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-01-29,8408.2,8423.8,340215.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-02-05,8379.0,8399.9,329605.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-02-12,8499.2,8522.4,317170.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-02-19,8378.4,8395.2,311570.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-02-26,8359.8,8365.3,305080.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-03-04,8564.8,8563.4,295400.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
2012-03-11,8375.8,8378.8,281270.0,6282.71,51736.74,20.48,3882.0,958.0,5430.0,1630.0,440.0,1300.0,883.0,690.0,1170.0,7790.0,3725.0,996.0,1832.0,86.0,190.0,30.0,39.0,20.0,38.0,76.0,30.0,20.0,16383.0,14429.0
