,date,lme_copper_cash,lme_copper_three_month,lme_copper_stock
0,13. April 2022,"10,290.50","10,306.00","107,000"
1,12. April 2022,"10,201.00","10,226.00","104,350"
2,11. April 2022,"10,235.50","10,254.00","105,600"
3,08. April 2022,"10,390.00","10,380.00","103,775"
4,07. April 2022,"10,292.00","10,301.00","101,275"
5,06. April 2022,"10,350.50","10,373.00","94,925"
6,05. April 2022,"10,426.00","10,450.00","95,975"
7,04. April 2022,"10,301.50","10,324.00","94,800"
8,01. April 2022,"10,247.00","10,260.00","93,975"
9,31. March 2022,"10,337.00","10,335.00","91,400"
10,30. March 2022,"10,390.50","10,392.00","87,925"
11,29. March 2022,"10,350.00","10,356.00","81,500"
12,28. March 2022,"10,227.00","10,230.00","80,550"
13,25. March 2022,"10,280.00","10,310.00","80,600"
14,24. March 2022,"10,421.00","10,435.00","80,675"
15,23. March 2022,"10,311.00","10,317.00","79,975"
16,22. March 2022,"10,342.00","10,355.00","80,100"
17,21. March 2022,"10,173.00","10,191.00","80,150"
18,18. March 2022,"10,249.00","10,240.00","79,500"
19,17. March 2022,"10,166.00","10,171.00","77,600"
20,16. March 2022,"10,100.50","10,121.00","77,475"
21,15. March 2022,"9,826.00","9,865.00","77,525"
22,14. March 2022,"9,880.00","9,925.00","78,000"
23,11. March 2022,"10,145.00","10,166.00","74,200"
24,10. March 2022,"10,144.00","10,172.00","71,900"
25,09. March 2022,"10,052.00","10,070.00","71,875"
26,08. March 2022,"10,171.00","10,250.50","69,600"
27,07. March 2022,"10,730.00","10,720.00","70,250"
28,04. March 2022,"10,466.00","10,440.00","69,825"
29,03. March 2022,"10,470.00","10,420.00","71,375"
30,02. March 2022,"10,257.50","10,220.50","72,075"
31,01. March 2022,"9,976.00","9,948.00","72,875"
32,28. February 2022,"9,974.00","9,945.00","73,025"
33,25. February 2022,"9,920.00","9,862.00","74,875"
34,24. February 2022,"9,983.00","9,935.00","74,750"
35,23. February 2022,"10,005.00","9,965.00","74,325"
36,22. February 2022,"10,020.00","9,951.00","74,475"
37,21. February 2022,"9,960.00","9,910.00","74,375"
38,18. February 2022,"10,015.00","9,975.00","74,075"
39,17. February 2022,"10,010.00","9,900.00","74,275"
40,16. February 2022,"10,045.50","10,010.00","75,275"
41,15. February 2022,"10,020.00","9,960.00","70,125"
42,14. February 2022,"9,882.00","9,840.00","72,225"
43,11. February 2022,"10,040.00","10,000.00","74,100"
44,10. February 2022,"10,220.50","10,181.00","76,325"
45,09. February 2022,"9,881.00","9,841.00","77,325"
46,08. February 2022,"9,760.00","9,718.00","79,925"
47,07. February 2022,"9,850.00","9,815.00","80,025"
48,04. February 2022,"9,875.00","9,835.00","82,225"
49,03. February 2022,"9,785.00","9,755.00","82,400"
50,02. February 2022,"9,880.00","9,845.00","84,875"
51,01. February 2022,"9,701.00","9,661.00","86,500"
52,31. January 2022,"9,620.00","9,539.00","87,650"
53,28. January 2022,"9,678.00","9,622.00","90,125"
54,27. January 2022,"9,872.00","9,835.00","91,350"
